title,jobId,currency,jobUploaded,companyName,tagsAndSkills,experience,salary,location,companyId,ReviewsCount,AggregateRating,jobDescription,minimumSalary,maximumSalary,minimumExperience,maximumExperience
Key Account Manager,300925928208,INR,3 Days Ago,Eris,"presentation skills,sales,institutional business,pharmaceutical sales,relationship management,pharmaceutical,sales growth,business development",5-10 Yrs,Not disclosed,Kolkata,669609,739.0,3.7,"Graduate in Science / Pharmacy/Commerce<br><br> MBA preferred.  . 25 years of experience in pharmaceutical sales,preferably in corporate/ institutional business.  . Strong relationship management and negotiation skills.  . Good communication,presentation,and analytical skills.  . Self-motivated,target-driven,and adaptable to a dynamic work environment",0.0,0.0,5.0,10.0
Sales Executive - Bulk order - 20Ltr Can,250925005388,INR,8 Days Ago,Hindustan Coca Cola Beverages (HCCB),"Bulk Sales,FMCG Sales,Bulk order,Order fulfillment,Can Bus,Bulk,Sales,Sales executive activities",2-4 Yrs,4-6 Lacs PA,Bengaluru,230928,3151.0,4.0,"Gathering competition Information and reporting to the Manager Behavioral. Go Getter,Able to work in Ambiguity,Good at Customer Relationship. .",400000.0,600000.0,2.0,4.0
Scrum master,260925501818,INR,7 Days Ago,Vision Beyond Resources India Private Limited,"Data analysis,Business analysis,Process improvement,Agile,Scrum,Project planning,Agile methodology,JIRA",3-15 Yrs,Not disclosed,Bengaluru,125122003,,," . Education: Bachelor s degree in Computer Science,Information Technology,Business,or a related field<br><br>Develop business requirement documents (BRDs),use cases,and user stories to support development teams<br><br>Utilize Jira and Confluence for requirement tracking and documentation<br><br> . Proficiency in Jira,Confluence,and other requirement management tools",0.0,0.0,3.0,15.0
Co-ordinator  Food Schemes,230925935883,INR,10 Days Ago,Eurofins,"project management,tracing,ms project,track and trace,project planning,serialization,estimation,defect reporting",3-6 Yrs,Not disclosed,Faridabad,891154,162.0,3.2,"<br /><br /><b> Eurofins is a leading provider of assurance and inspection services, covering a broad spectrum of sustainable supply chain practices, including the circular economy. Eurofins helps the customers to identify and mitigate risks in their supply chain and to ensure the benchmarking performance with operations, processes, systems, people, or capabilities. We hold accreditations for various industry standards and memberships, ensuring comprehensive service throughout the supply chain.</b> <br /><br /><b> Whether you are in the food, consumer products, healthcare, or cosmetics industries, we offer a full range of services including product inspection, auditing, certification, training, and consultation. Eurofins Assurance helps you mitigate compliance risks, enhance quality, and prevent safety failures early on, safeguarding your business from brand damage, product recalls, and other potential issues in the future.</b> <br /><br /><b> Sustain your business growth and commitment with Eurofins Assurance, a global network of assurance experts that you can trust.</b> <br /><br /><li>To monitor all the processes from application review to certificate issuance is happening within the defined TAT.</li><li>Ensure allocation of files to the respective technical reviewers as per scheme and as per TAT.</li><li>Track and send reminders to reviewers on status of files allocated for reviews.</li><li>Track and send reminders to auditors on status of audit reports pending with auditors.</li><li>Follow up with clients for CAPA reports as and when required by the scheme / standard.</li><li>To update the client tracker of relevant schemes such as BRCGS/ISO 22000/FSSC and other Second party audits with all information required.</li><li>To demonstrate the management expertise, good communication & ownership ability to accomplish the task right at first time. </li><li>Prepare monthly summary reports on the process performance.</li><br /><br /><b> Additional Information</b> <br /><li>Good in Communication Skill.</li><li>Good proficiency in operating Microsoft Office especially Excel.</li><li>Good command on written and spoken English</li><li>Result oriented</li><li>Problem solving</li><li>Should be good with new ideas and methodologies.</li>",0.0,0.0,3.0,6.0
Field Service Technician,250925026456,INR,1 Day Ago,Vivify Technocrats,"Electrical Maintenance,Electrical Erection,Electrical Installation,Electrical Works,Panel Wiring,Electrical Engineering,Servicing,Field",1-3 Yrs,Not disclosed,Hyderabad(Shamshabad +2),124095394,9.0,4.6,<p><strong>Role & responsibilities</strong> </p><p>Service & maintenance of security equipments installed at Hyderabad Airport</p><br /><p><strong>Preferred candidate profile</strong> </p><p>1 to 3 years experience in electrical maintenance</p><p>DECE/DEEE/BE ECE/ BE EEE</p><br />,0.0,0.0,1.0,3.0
Application Developer-AWS Cloud FullStack,290925919968,INR,4 Days Ago,IBM,"python,ruby,angular,node.js,java,software testing,regression testing,automation testing",4-8 Yrs,Not disclosed,Mysuru,16987,24311.0,3.9,"<br /> <li>As a Software Developer you'll participate in many aspects of the software development lifecycle, such as design, code implementation, testing, and support.</li><li>You will create software that enables your clients' hybrid-cloud and AI journeys.</li><li>Your primary responsibilities include:</li><li>Comprehensive Feature Development and Issue ResolutionWorking on the end to end feature development and solving challenges faced in the implementation.</li><li>Stakeholder Collaboration and Issue ResolutionCollaborate with key stakeholders, internal and external, to understand the problems, issues with the product and features and solve the issues as per SLAs defined.</li><li>Continuous Learning and Technology IntegrationBeing eager to learn new technologies and implementing the same in feature development.</li> <br /> <br /> Required education <br /> Bachelor's Degree <br /> <br /> Preferred education <br /> Master's Degree <br /> <br /> Required technical and professional expertise <br /> <li>Creative problem-solving skills and superb communication Skill.</li><li>Should have worked on at least 3 engagements modernizing client applications to</li><li>Container based solutions.</li><li>Should be expert in any of the programming languages like Java, .NET, Node .js, Python, Ruby, Angular .js</li> <br /> <br /> Preferred technical and professional experience <br /> <li>Experience in distributed/scalable systems</li><li>Knowledge of standard tools for optimizing and testing code</li><li>Knowledge/Experience of Development/Build/Deploy/Test life cycle.</li>",0.0,0.0,4.0,8.0
Lead - Inside Sales,300925500648,INR,3 Days Ago,freshworks,"Sales strategy,Sales,Executive Level 2,SAAS,Sales process,Pipeline management,Sales training,CRM",3-7 Yrs,Not disclosed,Bengaluru,1703010,779.0,3.4,"Collaborate closely with the Marketing team to provide a tight feedback loop on lead quality and campaign effectiveness.  . Work with Sales Development,Product,and Customer Success teams to ensure a seamless prospect and customer experience",0.0,0.0,3.0,7.0
Manager,240925506223,INR,9 Days Ago,Youthnet,"Hospitality,Event management,Business management,Management,Human resource management,Resource management,Events,Resource",3-7 Yrs,Not disclosed,Chumukedima,125056937,2.0,4.9,"Skills / experience required in Communication Human Resource Management . Preferably experienced in Hospitality,Event Management Business Management . Only male candidates may apply . Freshers can also apply . <br><br>Qualification: Graduate .",0.0,0.0,3.0,7.0
Client Service Manager,230925019098,INR,10 Days Ago,Showcraft Productions,"Communication Skills,Client Coordination,Project Management,Project Planning,Leadership Skills,Client Management,Creative Skills,Strategic Thinking",5-8 Yrs,Not disclosed,Noida,4051010,5.0,3.0,"Experience in managing large-scale projects in the event management industry.
Lead end-to-end event project management.
Coordinate with clients and internal teams to align expectations and deliverables.
Outstanding client management skills.",0.0,0.0,5.0,8.0
Field sales officer - Micro Loan Officer,240925009240,INR,9 Days Ago,Larsen & Toubro (L&T),"Loan Sales,Sales,Field Sales,Field Work,Collections,Group Sales,Bfsi Sales,Credit Card Sales",0-5 Yrs,2-2.5 Lacs PA,"Madurai(K Pudur), Ramanathapuram",43673,21513.0,3.9,"<br /><p><strong>1. Starting business in a new village</strong></p><p><strong>a. Village identification within the radius</strong></p><p><strong>b. Feasibility study of the village based on demographics, activities and financial needs of the customers</strong></p><p><strong>c. Assist the MC-IC in making the village approval</strong></p><br /><p><strong>2. Sourcing of business</strong></p><p><strong>a. Identification of customers and forming of Joint Liability Groups</strong></p><p><strong>b. Filling up of the application form</strong></p><p><strong>c. Verification of the residence and business of the customer</strong></p><p><strong>d. KYC verification</strong></p><p><strong>e. Pre-disbursement training</strong></p><p><strong>f. Visiting potential customers in order to develop business</strong></p><br /><p><strong>3. Disbursements</strong></p><p><strong>a. Collection of KYC documents</strong></p><p><strong>b. Assisting the MC-IC for disbursement activity completion</strong></p><p><strong>c. Loan documentation</strong></p><br /><p><strong>4. Collection of current dues</strong></p><p><strong>a. Collect the collection sheets and stickers from MC-IC</strong></p><p><strong>b. Group-wise collection as per scheduled time by following the process</strong></p><p><strong>c. Deposit of collection money</strong></p><p><strong>d. MERC entry</strong></p><br /><p><strong>5. Collection of over dues</strong></p><p><strong>a. Follow up with the customers with updated data report of assigned portfolio</strong></p><p><strong>b. Collection of money as per process</strong></p><p><strong>c. Depositing the money in bank</strong></p><p><strong>d. MERC entry</strong></p><p><strong>e. Assist the MC-IC in initiating action against the defaulters</strong></p><br /><p><strong>2 wheeler is Mandatory</strong></p><p><strong>Willing to Take Care of Sales and Collection</strong></p><p><strong>100% Field work</strong></p><br /><p><strong>Interested candidates can send your resume to WhatsApp +91 9611483830 or mail ageo@ltfs.com</strong></p>",200000.0,250000.0,0.0,5.0
Accountant,300925010470,INR,3 Days Ago,Naattu The Native Food Company,"Accounting,Gst Calculation,Tally ERP,Tds Filing,TDS Calculation,Gst Return,Gst Filing,Bank Reconciliation",5-10 Yrs,1.8-2.4 Lacs PA,Pollachi,125037217,,,"<p>All accounting and related activities</p><br /><p>Lakshmi Dairy Products</p><p>Vellalapalayam po, Pollachi 642120</p><br /><p>contact : Mr. Karuppasamy - 98422 20656</p>

Annual bonus
Health insurance
Provident fund",180000.0,240000.0,5.0,10.0
Assistant General Manager Legal,50825019341,INR,3 Days Ago,Omkar Placements,"Construction,Legal,Real Estate,Rera,Compliance,Coordination,MOUS,Litigation",10-20 Yrs,Not disclosed,"Thane, Navi Mumbai, Mumbai (All Areas)(Bandra Kurla Complex)",740001,,,"Our client into Real Estate Industry is looking for

AGM Legal

Profile:
Strong understanding of real estate laws, land acquisition, RERA, contracts, & dispute resolution. Providing legal advice, drafting & reviewing legal 
documents.Advise management on legal risks, strategies, & compliance matters.
Ability to handle pressure & provide quick, legal solutions.
Excellent communication skills.


Whatsapp CV on : 8422074660",0.0,0.0,10.0,20.0
Motion graphics & video editor,240925506875,INR,9 Days Ago,Team Builders India,"Graphics,Video Editor,Video,Video editing,Motion graphics,Editing,Motion",1-5 Yrs,Not disclosed,Gurugram,4853690,,, . Disclaimer : This job description has been sourced from a public domain and may have been modified by Naukri,0.0,0.0,1.0,5.0
Research Manager,11025011093,INR,2 Days Ago,PM Hr Solutions,"Research,Secondary Research,Qualitative Research,Consumer Insights,Quantitative Research,Customer Insight,Consumer Research,Proposal Development",10-15 Yrs,15-25 Lacs PA,Remote,123880501,,,"<p><strong>Role & responsibilities</strong> </p><p>-Market Research</p><p>-Experience in both qualitative and quantitative research</p><p>-Experience into proposal development, Questioner deign and Brand Tracking.</p><br /><p><strong>Preferred candidate profile</strong> </p><p>- Preference given to the person located in Delhi/NCR region.</p>",1500000.0,2500000.0,10.0,15.0
Sales Executive,21025009327,INR,1 Day Ago,Bisleri,"FMCG Sales,Secondary Sales,General Trade,Primary Sales,Distributor Handling,Secondary,Handling,General",,Not disclosed,Remote,62728,1356.0,4.2,"Minimum: Graduate preferred.  . 79 years of experience in FMCG sales (General Trade).  <br><br>Preferred candidate profile . <br><br>Experience in beverages,packaged drinking water,or consumer goods is highly desirable",0.0,0.0,7.0,10.0
Unit Manager - Operations,260925500792,INR,7 Days Ago,Metlife,"Training,Claims,Focus,Consulting,Unit Manager Operations,Investigation,Healthcare,medical records",15-20 Yrs,Not disclosed,Noida,4681368,1676.0,4.0,"Bachelor s degree (Medical) or diploma with a minimum of 15 years of education<br><br>Performs other related duties as assigned or required<br><br> . Education,Technical Skills & Other Critical Requirement. Education. .",0.0,0.0,15.0,20.0
Bulk Requirement For Technical Sales Executive(BSOD AND PPC ),160925023063,INR,2 Days Ago,Armaan Placements Services(himanshu Bisht ),"Technical sales officer 8755671696,Technical Sales Executive-9720754072,sr technical sales executive,us technical sales,Technical sales associate,ppc amazon ios,Technical sales ppc calls,international technical sales",1-6 Yrs,3-6.5 Lacs PA,"Chandigarh, Dehradun, Delhi / NCR(Patel Nagar +4)",3996702,,,No Freshers)or other domain Accomodation+Salary+incentives Travel Tickets<br><br>WE Required Bulk Agents for for popup and ppc calls agents for multiple location<br><br>Agents should have min 1 year of experience in Technical Sales with any us calls <br><br>Candidate should have international us technical sales experience,300000.0,650000.0,1.0,6.0
US mortgage- Title Search/ COS/FS-Work From Home,200925013794,INR,10 Days Ago,Venpa Staffing,"Full Search,Current Owner Search,Title Search,Mortgage,Searching,Current,Cos,US mortgage",1-5 Yrs,2-6 Lacs PA,Remote,756229,,,Work Mode: Work from home <br><br>should have good communication skills<br><br>Nationwide should work more than 8+states,200000.0,600000.0,1.0,5.0
Broker Partnership,230925504441,INR,10 Days Ago,Rentomojo,"brokerage,administration,real estate,estate,mws,sales,trading networks,marketing",2-4 Yrs,Not disclosed,Noida,3220044,233.0,3.9,"Flexibility to work weekends,holidays,and evening shifts as per the business needs <br><br>Participating in the retails sales and store management activities as and when required . Coordinating with cross functional team like marketing & category to stay abreast of the recent updates PREFERRED QUALIFICATION . Bachelors degree in business,marketing,or a related field is preferred",0.0,0.0,2.0,4.0
Assistant Manager - Process Training (US Mortgage Underwriting),250925025221,INR,8 Days Ago,WNS Holdings,"Us Residential Mortgage,training,Mortgage Underwriting,Income Calculation,live underwriting,Loan Origination,Post Closing,Underwriting",5-9 Yrs,Not disclosed,Gurugram,2172,13819.0,3.3,Vendor Management: Engage with various vendors providing training to gauge and leverage niche domain expertise that may be required time to time<br><br> Project and Training Management Experience is a must<br><br>Good with Microsoft Office,0.0,0.0,5.0,9.0
Project Manager,11025501562,INR,2 Days Ago,Manektech,"Project Manager,Project,Management,Project management",6-10 Yrs,Not disclosed,Ahmedabad,1896538,66.0,3.1,Experience: 0 To 0,0.0,0.0,6.0,10.0
Application Developer,250925923236,INR,8 Days Ago,Accenture,"sap abap development,sap fiori,sapui5,sap hana,sap abap,bdc,project management,css",2-5 Yrs,Not disclosed,Bengaluru,27117,66727.0,3.7,"Educational Qualification : 15 years full time education. Summary :As an Application Developer,you will design,build,and configure applications to meet business process and application requirements<br><br> Project Role Description : Design,build and configure applications to meet business process and application requirements. Must have skills : SAP ABAP Development for HANA",0.0,0.0,2.0,5.0
Enterprise Technology Architect,250925923524,INR,8 Days Ago,Accenture,"predictive maintenance,plc,dl,oee,ml,erp,python,tao",12-15 Yrs,Not disclosed,Bengaluru,27117,66727.0,3.7,Apply the latest technology and industry expertise to create better products and experiences. Must have skills : Data & AI Solution Architecture<br><br>Minimum . 12 year(s) of experience is required<br><br>Must have . <br><br> Good to have skills : NA,0.0,0.0,12.0,15.0
Oracle Soa Developer,300925011830,INR,3 Days Ago,CIEL HR,"EBS,Oracle SOA,SOA,Oracle,Eb,Development",5-10 Yrs,Not disclosed,"Hyderabad, Chennai, Bengaluru",2089678,,,"<p> </p><p><strong>Key Responsibilities</strong></p><ul><li>Design, develop, and maintain <strong>SOA/BPEL composites</strong> to support AP Invoice Automation across Oracle EBS/Fusion.</li><li>Build <strong>interfaces and integrations</strong> between Oracle Payables, OCR tools (Kofax, ABBYY, UiPath Document Understanding, etc.), and third-party systems.</li><li>Develop and optimize <strong>middleware components</strong> (SOA Suite, OSB, BPEL, Mediator, Adapters).</li><li>Integrate with <strong>Oracle AP, EB-Tax, SLA, Payments, and Expenses</strong> modules for invoice automation.</li><li>Handle <strong>invoice ingestion workflows</strong> including validations, exception handling, and approvals.</li><li>Support <strong>real-time and batch integrations</strong> using SOA Suite and REST/SOAP web services.</li><li>Implement and maintain <strong>error handling, logging, and monitoring frameworks</strong> for robust integrations.</li><li>Collaborate with functional and business teams to analyze requirements and provide scalable integration solutions.</li><li>Support <strong>UAT, cutover, and production deployments</strong> of APIA-related integrations.</li></ul><p><strong>Required Skills & Experience</strong></p><ul><li>58 years of experience in <strong>Oracle SOA Suite 11g/12c</strong> (BPEL, Mediator, OSB, Adapters).</li><li>Strong knowledge of <strong>Oracle E-Business Suite R12 AP</strong> and/or <strong>Oracle Fusion Financials (Payables, Expenses, Tax)</strong>.</li><li>Hands-on experience building integrations for <strong>Accounts Payable Invoice Automation (APIA)</strong> solutions.</li><li>Expertise in <strong>web services (SOAP, REST), XML, XSD, XSLT, XQuery</strong>.</li><li>Experience with <strong>AP invoice processing flows</strong> (2-way/3-way matching, approvals, holds, payments).</li><li>Solid debugging and performance tuning skills for SOA composites and middleware.</li><li>Familiarity with <strong>FBDI, ADFdi, and ERP Cloud web services</strong> for invoice data automation.</li><li>Experience in <strong>error handling frameworks and reprocessing strategies</strong> for failed transactions.</li><li>Exposure to <strong>OCR/IDP tools</strong> (Kofax, ABBYY, ReadSoft, UiPath, Automation Anywhere).</li><li>Experience with <strong>OIC (Oracle Integration Cloud)</strong> in addition to SOA Suite.</li><li>Knowledge of <strong>RPA tools</strong> for invoice automation.</li><li>Familiarity with <strong>intercompany processes (AGIS)</strong> and financial compliance requirements.</li></ul><br />",0.0,0.0,5.0,10.0
Assistant General Manager - Accounts Receivable,290925500851,INR,4 Days Ago,Orchard Healthcare,"TDS,Financial reporting,Billing,Revenue recognition,Cash flow,Healthcare,Cross functional coordination,Accounts receivable",7-10 Yrs,Not disclosed,Bengaluru,124460782,16.0,3.6,  . Must be a Qualified Chartered Accountant (CA) or hold an MBA in Finance / Accounting.  .  .  . Strong knowledge of accounting principles and financial reporting.  .  . Strong expertise in accounts receivable or similar finance roles .  .  . Good experience in MS Excel (must have worked with large volumes of data)<br><br> experience with Advanced Excel is a plus .  .,0.0,0.0,7.0,10.0
Immediate Hiring For HR Recruiter !!,31025016428,INR,Few Hours Ago,THE Solidarity,"Selection,Recruitment,Sourcing Profiles,Good English Communication,End To End Recruitment,Interview Scheduling,Shortlisting,Talent Acquisition",0-1 Yrs,2-3 Lacs PA,Pune,4764770,,,"Prepare reports by collecting and analyzing information.
End to End Recruitment
Screening candidate
Maintains office supplies inventory by checking stock to determine inventory level, anticipating needed supplies.
Employee Engagement, Retention",200000.0,300000.0,0.0,1.0
React JS Developer - Freshers,230925036785,INR,10 Days Ago,Jayam Solutions Private Limited -CMMI Level III company,"Typescript,Javascript,Node.Js,React.Js,CSS,Bootstrap,HTML,Ajax",0-1 Yrs,Not disclosed,Hyderabad(Moosapet),2385970,71.0,3.9,"- 2024 and 2025 pass outs.  . - Male Candidates only<br><br> - 10th: Minimum 9 GPA. - Plus 2: Minimum 9 GPA. - BTech (CSE,IT,ECE ) : Minimum 8 GPA. .",0.0,0.0,0.0,1.0
Engineer - Installation,270925011077,INR,6 Days Ago,Kone,"erection,repair,maintenance engineering,presentation skills,interpersonal skills,equipment,control,elevator installation",2-6 Yrs,Not disclosed,Guwahati,5463,1515.0,4.1,Minimum 4 years of experience in Elevator Installation / Erection. Good understanding of Elevator & Escalator products and Site Safety . <br><br>Experience in handling sub-contractors and Customer relationship. Self-Driven professional with great enthusiasm. .,0.0,0.0,2.0,6.0
Client Data Analyst,240925500989,INR,9 Days Ago,JPMorgan Chase Bank,"data analysis,data analytics,business requirements,data mining,predictive analytics,presentation skills,business analysis,power bi",1-7 Yrs,Not disclosed,Bengaluru,1137434,7126.0,3.8,"Support all aspects of client onboarding to include the fulfillment of AML and KYC requirement<br><br>Required qualifications,capabilities,and skills . <br><br> Must be flexible and adaptable to manage interim projects and processes based on the business requirements<br><br> Make decisions that are effective and well-grounded based on data,insight,and experience",0.0,0.0,1.0,7.0
Java Full Stack Engineer,250925508602,INR,8 Days Ago,Pratiti Technologies,"Procurement,spring boot,ERP,Backend,GIT,NoSQL,MySQL,Debugging",3-7 Yrs,Not disclosed,Pune,4066430,97.0,3.8,"Frontend experience in React (preferred) or Angular,TypeScript,HTML / CSS<br><br>Experience with relational databases (MySQL / Postgres) and NoSQL (MongoDB) as needed",0.0,0.0,3.0,7.0
Java Backend Developer,290925913651,INR,4 Days Ago,PRADEEPIT CONSULTING SERVICES PVT LTD,"spring boot,java,liferay,software engineering,aws,rest,css,aws infrastructure",5-10 Yrs,Not disclosed,Remote,5596258,,,"<div><div><strong>Experience:</strong> 5+ Years</div><div><div><p><strong>Relevant Experience:</strong> 5+ Years</p><p><strong>Job/Work type:</strong> Remote</p><p><strong>Time Zone:</strong> IST Time Zone 10:00 pm to 7:00 pm</p><p><strong>Project Name/Type:</strong> Development/Enhancement</p><p><strong>Job Description:</strong></p><ul><li><strong>5+ years</strong> of professional backend software engineering experience.</li><li>Experience in analysis, design, coding and implementation of next-generation web.</li><li>applications in backend programming language (preferably in <strong>Java, Spring Boot and Liferay).</strong></li><li>Experience in API based architectures (e.g. <strong>SOA</strong>).</li><li>Experience working on high-traffic and large-scale web products.</li><li>Experience with web infrastructure, distributed systems and performance analysis.</li><li>Driven to gain insight into different new and old technologies.</li><li>Been on at least one death march and know exactly why some things have to be avoided.</li><li>Ability to prioritize tasks and quickly adjust in a rapidly changing environment.</li><li>Maintain and ensure optimal software quality within the assigned work stream and product.</li><li>Working knowledge with <strong>AWS infrastructure</strong> and deploying applications on <strong>EKS</strong> is a plus.</li></ul></div></div></div>",0.0,0.0,5.0,10.0
Jr. PPC (Google Ads) Executive,120925005750,INR,7 Days Ago,Webindia Inc,"Google Ads,Keyword Research & Analysis,Remarketing,Google Adwords,ROAS,Ab Testing,ROI,Campaign Optimization",0-2 Yrs,1-3.5 Lacs PA,Ahmedabad,607233,63.0,4.1,"Key Skills:  . Fluent English is a must (Ability to speak,write,listen & read English)",100000.0,350000.0,0.0,2.0
"REAL ESTATE ANALYST Real Estate Intelligence Unit, AS",230925918415,INR,10 Days Ago,Deutsche Bank,"real estate valuation,real estate,loan servicing,underwriting,financial markets,financial analysis,dcf,estate",3-5 Yrs,Not disclosed,Mumbai,123506651,4090.0,3.9,"<br /><b> <br /><br /></b><b>About The Role :</b>  <br /><br /><b>Job TitleREAL ESTATE ANALYST Real Estate Intelligence Unit, AS</b><br /><br /><b>LocationMumbai, India</b><br /><br /><b>Role Description</b><br /><li>The Wealth Management Portfolio Management team is a newly developed lending services (front office facing) aimed at supporting robust risk management, monitoring and analytics on the structured loan portfolio of the WM division, which offers bespoke lending solutions to High Net Worth / Ultra High Net Worth clients globally.</li><li>The loan portfolio comprises loans secured against real estate (both residential and commercial), listed and unlisted shares, art, aircraft and other collateral types (physical or financial).</li><li>The division also has a sizeable presence in the Private Capital Fund Financing industry with an active Capital Call Financing (Subscription Finance) and LP / GP financing business.</li><li>Integral to such a bespoke lending suite is ensuring high quality assessment, monitoring and maintenance of a sizeable book with complex collateral types. The Real Estate Intelligence Unit is an integral part of Portfolio Management designed to support the global real estate lending portfolio (including both Commercial Real Estate and Residential Real Estate) for WM division. This includes</li><li>(i) Real Estate Analysis and collateral monitoring;</li><li>(ii) valuation co-ordination;</li><li>(iii) exposure reporting and analytics;</li><li>(iv) Stress testing support.</li><br /><br /><b>Your key responsibilities</b><br /><li>Undertake analytical activities to support Real Estate loan file management including valuation reviews, serviceability assessments, early warning reviews including via covenant tracking, among other functions.</li><li>Support preparation of Real Estate credit submissions for credit approval (initially focussing on annual reviews)</li><li>Support the REIU team head in processing and meeting KPIs</li><li>Ensuring high quality MIS and processes are maintained to support the Real Estate collateral monitoring process</li><li>Support preparation of management info as appropriate (including ad hoc reviews, regulatory enquiries and quarterly stress tests)</li><br /><br /><b>Your skills and experience</b><br /><li>Highly numerate, degree qualified</li><li>Demonstrated understanding of financial markets and drivers of real estate valuations</li><li>3-5 years experience in Real Estate finance / loan servicing / investments / similar areas with deep expertise in Real Estate underwriting in an institutional banking environment</li><li>Experience in Commercial Real Estate risk assessment and financing</li><li>Good understanding of process and credit portfolio management in a regulatory environment faced by an international bank</li><br /><br />",0.0,0.0,3.0,5.0
Application Developer,300925915881,INR,3 Days Ago,Accenture,"dbms,javascript,java,full stack,html,joining formalities,screening,hr generalist activities",2-5 Yrs,Not disclosed,Pune,27117,66726.0,3.7,"Minimum . 5 year(s) of experience is required. Educational Qualification : 15 years full time education<br><br>Skills:  - . Must To Have <br><br> . Project Role Description : Design,build and configure applications to meet business process and application requirements. Must have skills : Java Full Stack Development. Good to have skills : NA",0.0,0.0,2.0,5.0
Client Relationship Executive,270925008094,INR,6 Days Ago,Logon Global Solutions,"Client Support,English,Client Coordination,Malayalam,Client Servicing,Client Relation,Client Relationship,Relationship",0-3 Yrs,1.92-3.36 Lacs PA,Kochi(Kakkanad),125008981,4.0,4.2,<p> <strong>Role:</strong> Primary advisor for study abroad candidates.</p><ul><li><strong>Focus:</strong> Deliver high-touch client service.</li><li><strong>Duties:</strong> Counsel on courses/visas; manage applications; ensure high satisfaction.</li><li><strong>Goal:</strong> Drive successful enrolment and retention.</li></ul>,192000.0,336000.0,0.0,3.0
Benefits Administration Services Associate I,240925931835,INR,9 Days Ago,Conduent,"claims adjudication,training,vocational training,benefits administration,claims,community development,project management,csr",4-9 Yrs,Not disclosed,Hyderabad,6762,3018.0,3.4,"Willingness to work in shifts in different time zones<br><br>In some areas,requires vocational training,certifications,licensures,or equivalent experience. General Profile <br><br> Graduate from recognized universities<br><br>B Tech CSE / IT not eligible)<br><br>Freshers and experienced candidates from 5 to 4 years are eligible <br><br>Preferred candidates with Claims / Claims Adjudication",0.0,0.0,4.0,9.0
HR Planners and Developers,260925501175,INR,7 Days Ago,HR Planners and Developers Pvt. Ltd.,"Business administration,Market development,Medical devices,French,Healthcare,Market research,After sales support,Key account management",5-8 Yrs,Not disclosed,Bengaluru,3235946,,,"Qualifications Skills: Bachelors degree in Business Administration,Sales,Marketing,Healthcare,or related field<br><br>Supportive team and regional exposure. Qualification(s) Desired Experience <br><br>Minimum of [5-8] years of experience in international sales,preferably in medical devices or healthcare industry<br><br>Willingness to travel extensively within regions",0.0,0.0,5.0,8.0
Application Support Specialist,230925027540,INR,10 Days Ago,Vittech,"Ai Techniques,Data Structures,Data Analysis,Java,Problem Solving,Debugging,Java Code,SQL Queries",0-1 Yrs,Not disclosed,"Noida, Gurugram(Faridabad Road), Delhi / NCR(Old Ghaziabad)",5950054,,,"Candidates with a career gap looking to restart their professional journey.  . Fresh graduates or early professionals who have had a break but kept their skills updated through courses,projects,or freelancing.  <br><br>Required Skills . Who Can Apply?",0.0,0.0,0.0,1.0
Interesting Opportunity For Pharmacist Position,190825035401,INR,Today,Manpowergroup Services India,"Pharmacy,Dispensing,chronic medicines,Positioning,Medicine",3-5 Yrs,1-2.75 Lacs PA,Hyderabad(Gachibowli),742,,,Experience:3-5 Years . <br><br>Qualified pharmacist with prior experience in chronic care dispensing and stock control,100000.0,275000.0,3.0,5.0
Head - Project Planning & Control,31025012290,INR,Few Hours Ago,Adani Group,"Project Planning Control,Commercial,P6,Primavera Project Planner,Project Control,MS Project,Primavera,Project Planning",18-22 Yrs,Not disclosed,Ahmedabad,8474,2121.0,3.8,"With four IG rated businesses,it is the only Infrastructure Investment Grade issuer in India.  . Adani Airports Holding Limited : Adani Airports Holding Limited is reshaping the aviation landscape,transforming airports into dynamic hubs of connectivity,innovation,and service excellence<br><br>Prior experience in Airport construction projects is highly preferred.  .",0.0,0.0,18.0,22.0
Administrator,31025908745,INR,Few Hours Ago,Incedo,"amazon rds,sql server,postgresql,devops,amazon cloudwatch,standard operating procedures,orientation,python",4-6 Yrs,Not disclosed,Chennai,31046,1230.0,3.0,"Computer science background is preferred <br><br> Job Summary:  . We are looking for a proactive and technically strong Cloud Database Administrator (DBA) with experience in AWS RDS / Aurora,SQL Server,and PostgreSQL<br><br>Qualifications . 4-6 years of work experience in relevant field",0.0,0.0,4.0,6.0
Concrete Technologist,290925011629,INR,4 Days Ago,Fosroc Chemicals,"Admixture,Ready Mix Concrete,Construction Chemicals,Concrete Technology,Concrete Testing,Concrete,Chemical,Technology",2-6 Yrs,2.25-6.5 Lacs PA,Lucknow,108478,336.0,4.3,SECONDARY . To develop good and effective contacts with consultants / architects for furthering Companys business interests. .,225000.0,650000.0,2.0,6.0
Account Executive,300925920169,INR,3 Days Ago,Satyam Consulting Services,"Accounting,Financial Reporting,Management Reports,Month-End Closing,Bank Reconciliation,Invoicing,Account Statements,Balance Sheet Preparation",1-6 Yrs,Not disclosed,Pune,3801018,,,"Manage client accounts and maintain accurate transaction records.
Generate invoices and ensure timely billing.
Conduct bank reconciliations and monitor account statements.
Assist in preparing financial reports, balance sheets, and P&L statements.Coordinate with internal teams and external auditors for audits.",0.0,0.0,1.0,6.0
